Rules name;Number of occurrences
rule_1;231
rule_2;231
rule_33;231
rule_32;237
rule_31;337
rule_30;231
rule_37;231
rule_18;231
rule_36;237
rule_19;231
rule_35;231
rule_16;231
rule_34;237
rule_17;231
rule_8;237
rule_14;231
rule_7;234
rule_15;231
rule_39;231
rule_12;231
rule_38;237
rule_13;233
rule_9;235
rule_10;231
rule_4;240
rule_11;231
rule_3;231
rule_6;233
rule_5;245
rule_27;231
rule_28;337
rule_48;259
rule_29;237
rule_47;312
rule_23;240
rule_49;234
rule_24;235
rule_25;337
rule_26;237
rule_20;231
rule_21;233
rule_22;231
